City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
502,Tarrafal,15.2833,-23.7667,68.0,64,75,20.71,CV,2021-02-07 01:58:17,broken clouds
503,Gornoye Loo,43.7129,39.6049,44.6,87,90,11.18,RU,2021-02-07 01:58:17,light rain
504,Amursk,50.2261,136.8994,-2.09,90,100,4.16,RU,2021-02-07 01:54:02,overcast clouds
505,Jawar,23.0,76.5,50.47,48,0,5.61,IN,2021-02-07 01:58:18,clear sky
506,Usogorsk,63.4106,48.6872,-22.5,83,70,10.67,RU,2021-02-07 01:58:18,broken clouds
507,Kushima,31.4583,131.2333,59.0,55,20,18.41,JP,2021-02-07 01:58:18,few clouds
508,Bolivar,37.6145,-93.4105,23.0,87,100,14.67,US,2021-02-07 01:58:18,light snow
509,Sambava,-14.2667,50.1667,74.57,89,91,4.45,MG,2021-02-07 01:58:18,overcast clouds
510,Codrington,-38.2667,141.9667,61.11,65,100,12.26,AU,2021-02-07 01:58:18,overcast clouds
511,Tucuman,-26.8241,-65.2226,78.8,73,75,3.44,AR,2021-02-07 01:58:18,broken clouds
512,Kharp,66.8014,65.8081,-17.46,82,100,5.41,RU,2021-02-07 01:58:18,overcast clouds
513,Lossiemouth,57.7214,-3.2834,35.6,69,75,16.11,GB,2021-02-07 01:58:19,broken clouds
514,Wronki,52.7105,16.3804,19.0,67,0,16.11,PL,2021-02-07 01:58:19,clear sky
515,Tarbes,43.25,0.1667,42.8,81,90,12.66,FR,2021-02-07 01:58:19,overcast clouds
516,Camacupa,-12.0167,17.4833,62.49,97,100,5.84,AO,2021-02-07 01:58:08,light rain
517,Riverton,40.5219,-111.9391,46.4,56,40,16.11,US,2021-02-07 01:58:19,scattered clouds
518,Port Blair,11.6667,92.75,81.28,69,59,9.19,IN,2021-02-07 01:58:20,broken clouds
519,Porkhov,57.765,29.5561,1.4,92,0,4.47,RU,2021-02-07 01:58:20,clear sky
520,Abeche,13.8292,20.8324,63.28,27,42,17.07,TD,2021-02-07 01:58:20,scattered clouds
521,Kandrian,-6.2167,149.55,89.46,61,48,8.75,PG,2021-02-07 01:58:20,scattered clouds
522,Putina,-15.4667,-69.4333,46.69,77,65,11.54,PE,2021-02-07 01:58:20,broken clouds
523,Kendrapara,20.5042,86.416,64.4,77,0,3.44,IN,2021-02-07 01:58:20,mist
524,Boyolangu,-8.1181,111.8935,82.85,73,28,7.83,ID,2021-02-07 01:58:20,scattered clouds
525,Rantepao,-2.9701,119.8978,82.27,60,84,1.45,ID,2021-02-07 01:58:20,broken clouds
526,Jalu,29.0331,21.5482,57.67,43,0,8.41,LY,2021-02-07 01:58:21,clear sky
527,Rogaska Slatina,46.2375,15.6397,45.0,100,90,4.61,SI,2021-02-07 01:58:21,fog
528,Farkhor,37.4922,69.4036,55.4,66,75,6.71,TJ,2021-02-07 01:58:21,broken clouds
529,Maragogi,-9.0122,-35.2225,77.67,84,4,8.84,BR,2021-02-07 01:58:21,clear sky
530,Mamallapuram,12.6264,80.1722,69.8,88,20,7.52,IN,2021-02-07 01:58:22,mist
531,Jaggayyapeta,16.9,80.1,65.44,81,40,3.49,IN,2021-02-07 01:58:22,scattered clouds
532,Sehithwa,-20.4667,22.7167,69.48,92,100,4.47,BW,2021-02-07 01:58:22,light rain
533,Thohoyandou,-22.9456,30.485,69.3,97,100,0.94,ZA,2021-02-07 01:58:22,light rain
534,Kigali,-1.95,30.0588,64.0,100,96,3.0,RW,2021-02-07 01:57:02,overcast clouds
535,Meadow Lake,34.8014,-106.5436,50.0,12,1,5.75,US,2021-02-07 01:58:22,clear sky
536,Sinnamary,5.3833,-52.95,77.22,87,98,13.56,GF,2021-02-07 01:54:39,overcast clouds
537,Diapaga,12.0708,1.7889,75.0,20,60,6.89,BF,2021-02-07 01:58:22,broken clouds
538,Santa Josefa,7.9911,126.03,79.63,85,100,3.8,PH,2021-02-07 01:58:22,overcast clouds
539,Alice Town,25.7167,-79.3,76.23,84,0,18.48,BS,2021-02-07 01:58:23,clear sky
540,Fonte Boa,-2.4959,-66.2662,75.34,95,94,1.36,BR,2021-02-07 01:58:23,overcast clouds
541,Olga,43.7444,135.2892,13.05,78,0,14.61,RU,2021-02-07 01:58:23,clear sky
542,Langsa,4.4683,97.9683,84.0,66,79,1.01,ID,2021-02-07 01:58:23,broken clouds
543,Mayo,38.8876,-76.5119,42.8,56,1,3.85,US,2021-02-07 01:55:25,clear sky
544,Birin,26.8865,88.0718,46.06,68,0,3.78,NP,2021-02-07 01:55:23,clear sky
