City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,Lebu,-37.6167,-73.65,62.8,77,87,6.15,CL,2/6/2021 17:09
143,Rawson,-43.3002,-65.1023,66.87,50,25,17.9,AR,2/6/2021 17:11
144,Borbon,10.838,124.0297,78.8,83,75,6.91,PH,2/6/2021 17:11
145,Nome,64.5011,-165.4064,15.8,79,90,2.77,US,2/6/2021 17:11
146,Aklavik,68.2191,-135.0107,-27.4,68,20,2.3,CA,2/6/2021 17:09
147,Chipinge,-20.1883,32.6236,67.73,100,100,3.98,ZW,2/6/2021 17:11
148,Neiafu,-18.65,-173.9833,78.8,94,75,13.8,TO,2/6/2021 17:11
149,Quatre Cocos,-20.2078,57.7625,80.01,83,20,5.75,MU,2/6/2021 17:11
150,Yeppoon,-23.1333,150.7333,75.2,78,92,5.75,AU,2/6/2021 17:11
151,Tazmalt,36.3868,4.3989,61.74,37,31,10.63,DZ,2/6/2021 17:11
152,Sawakin,19.1059,37.3321,73.85,47,0,8.23,SD,2/6/2021 17:11
153,Coromandel,-18.4733,-47.2003,79.32,74,67,8.08,BR,2/6/2021 17:11
154,Kaspiysk,42.8816,47.6392,39.2,81,0,15.66,RU,2/6/2021 17:11
155,Skjervoy,70.0311,20.9714,29.82,93,100,20.38,NO,2/6/2021 17:11
156,Diamantino,-14.4086,-56.4461,87.42,56,44,6.44,BR,2/6/2021 17:11
157,Chemainus,48.9163,-123.7194,46,93,75,3.44,CA,2/6/2021 17:11
158,Martapura,-3.4167,114.85,78.8,94,75,2.3,ID,2/6/2021 17:11
159,Kodiak,57.79,-152.4072,28.4,59,1,4.61,US,2/6/2021 17:11
160,Cayenne,4.9333,-52.3333,80.6,89,90,9.22,GF,2/6/2021 17:09
161,Blind River,46.1834,-82.9582,21.2,85,90,17.27,CA,2/6/2021 17:11
162,Puerto Baquerizo Moreno,-0.9,-89.6,84.2,79,40,17.27,EC,2/6/2021 17:11
163,Sao Luis,-2.5297,-44.3028,89.6,62,40,17.27,BR,2/6/2021 17:07
164,Evensk,61.95,159.2333,7.38,89,100,15.3,RU,2/6/2021 17:09
165,Necochea,-38.5473,-58.7368,75,60,6,14.29,AR,2/6/2021 17:07
166,Sitka,57.0531,-135.33,35.6,87,75,12.66,US,2/6/2021 17:11
167,Cape Town,-33.9258,18.4232,78.01,68,20,19.57,ZA,2/6/2021 17:07
